,video_id,title,active_since_days,duration_seconds,total_views,num_chars,num_words,num_punctuation,num_words_uppercase,num_words_lowercase,num_stopwords,avg_word_len,contain_digits,startswith_digits,title_sentiment,likes,dislikes,comments
2779,3Q3IkYWn_TE,35 EMERGENCY LIFE HACKS THAT WORK,1095,900,763599,33,6,0,5,0,1,5.5,1,1,0.0,9836,883,574
2780,iS-NRKPuTVI,20 CRAZY MAGIC TRICKS YOU CAN EASILY REPEAT,1095,788,367551,43,8,0,7,0,2,5.375,1,1,0.1111111111111111,4626,450,398
2781,T_DtKD-kDE0,30 CRAZY SMART MAKEUP AND BEAUTY HACKS YOU HAVE TO TRY,1095,1320,17852495,54,11,0,10,0,4,4.909090909090909,1,1,-0.1928571428571428,99610,19927,4113
2782,ws7GR5qEZIk,20 MANICURE HACKS YOU'VE BEEN LOOKING FOR YOUR WHOLE LIFE,1095,474,441931,57,10,1,9,0,4,5.7,1,1,0.2,8859,485,465
2783,EfqOK2ith3A,20 BATHROOM HACKS TO MAKE YOUR LIFE EASIER,1095,1200,4617051,42,8,0,7,0,2,5.25,1,1,0.0,34044,4590,1051
2784,BoGfJsS2gEg,20 СOOL TOY HACKS FOR ADULTS,1095,900,264665,28,6,0,5,0,1,4.666666666666667,1,1,0.0,3655,419,0
2785,AeU8y9Tc_Y4,20 AWESOME PARTY IDEAS THAT ARE BORDERLINE GENIUS,1095,960,9580524,49,8,0,7,0,2,6.125,1,1,1.0,56540,9175,1898
2786,MoX0-hsu1TA,24 DIY INVENTIONS TO MAKE YOUR LIFE EASIER,1095,661,367354,42,8,0,7,0,2,5.25,1,1,0.0,4032,498,520
2787,rtcPaVBUBfE,17 TOY HACKS EVERY ADULT NEEDS TO KNOW,1095,900,1158581,38,8,0,7,0,1,4.75,1,1,0.1,13311,1243,752
2788,v7PA8RfxFNM,30 AWESOME GLUE GUN HACKS THAT LOOK PRETTY WEIRD AT FIRST GLANCE,1095,1380,597911,64,12,0,11,0,2,5.333333333333333,1,1,0.25,7824,728,842
2789,WSnIB_ab1LU,19 GENIUS GADGET LIFE HACKS,1095,702,852152,27,5,0,4,0,0,5.4,1,1,0.0,7947,909,464
2790,uyJFrvMwvBY,15 SIMPLE WAYS TO GET THE LIPS OF YOUR DREAMS,1095,514,5885453,45,10,0,9,0,4,4.5,1,1,0.0,61440,4685,2214
2791,qEzML84Lc-c,17 GENIUS BATHROOM TIPS THAT WILL CHANGE YOUR LIFE FOREVER,1095,900,8281577,58,10,0,9,0,3,5.8,1,1,0.0,33838,7106,1939
2792,8hX_kydRmnQ,TOP 99 VIRAL BEAUTY TRICKS TESTED,1095,5400,312808,33,6,0,5,0,0,5.5,1,0,0.5,5313,603,448
2793,E9b73wQ0QBs,19 TOTALLY SIMPLE BEAUTY HACKS AND TRICKS,1095,735,2514045,41,7,0,6,0,1,5.857142857142857,1,1,0.0,28325,1792,617
2794,jEu-GDwKbgA,15 HABITS THAT MAY KILL YOU,1095,900,13786808,27,6,0,5,0,2,4.5,1,1,0.0,196313,21600,14906
2795,qFzN-S62MJw,30 EASY LIFE HACKS FOR SEWING,1095,1620,654465,29,6,0,5,0,1,4.833333333333333,1,1,0.4333333333333333,7012,646,548
2796,KTFQsTvJvh4,13 COOL AND SATISFYING DIYs,1095,618,10433415,27,5,0,3,0,1,5.4,1,1,0.425,122070,9316,5388
2797,eGsfqf9vDgY,20 HALLOWEEN IDEAS THAT WILL TOTALLY SHOCK YOUR FRIENDS,1095,900,5092370,55,9,0,8,0,3,6.111111111111111,1,1,0.0,59252,4917,3071
2798,WS7GhAp-fGM,28 SIMPLE HACKS THAT WILL CHANGE YOUR LIFE,1095,1020,34750010,42,8,0,7,0,3,5.25,1,1,0.0,210280,75084,24672
2799,IyT6X-w7ec0,22 EASY STATIONERY HACKS THAT WILL CHANGE YOUR LIFE,1095,564,10062190,51,9,0,8,0,3,5.666666666666667,1,1,0.4333333333333333,89637,11762,2788
2800,9rJcgfFh4Gw,21 TIPS FOR PARENTS TO MAKE YOUR LIFE EASIER NOW,1095,960,6521995,48,10,0,9,0,4,4.8,1,1,0.0,47510,5747,2455
2801,HOT2D3OhAjE,25 STUDY HACKS TO MAKE YOUR LIFE EASIER,1095,1200,8914380,39,8,0,7,0,2,4.875,1,1,0.0,58756,8261,2332
2802,te-S98xnqdw,25 EXCEPTIONAL BEAUTY HACKS THAT WILL REVOLUTIONIZE YOUR MAKEUP ROUTINE,1095,1260,1555432,71,10,0,9,0,3,7.1,1,1,0.6666666666666666,14821,1632,665
2803,KpIBCNKN0gw,18 UNEXPECTED IDEAS FOR STRONG TEETH,1095,641,136370,36,6,0,5,0,1,6.0,1,1,0.2666666666666666,4652,231,287
2804,AWDucKpVeqE,33 SIMPLE PHOTO HACKS THAT CAN TURN YOUR SHOT INTO A REAL MASTERPIECE,1095,653,15763068,69,13,0,12,0,5,5.307692307692308,1,1,0.1,131284,10640,2378
2805,GHFDTOxLR44,100 BARBIE DOLL HACKS AND MINIATURE FURNITURE IDEAS,1095,1980,450121,51,8,0,7,0,1,6.375,1,1,0.0,6538,748,414
2806,A0SUv4iTjRM,15 PHONE HACKS AND CRAFTS THAT WILL KNOCK YOUR SOCKS OFF,1095,658,11282820,56,11,0,10,0,5,5.090909090909091,1,1,0.0,79332,11074,1746
2807,wNcgdCYBc5M,27 QUICK HACKS THAT CAN MAKE YOUR LIFE BETTER,1095,900,352852,45,9,0,8,0,3,5.0,1,1,0.4166666666666666,5113,449,453
2808,FkJAvZIx_bU,25 COOL AND EASY OUTFIT HACKS,1095,1080,891075,29,6,0,5,0,1,4.833333333333333,1,1,0.3916666666666666,9797,943,624
2809,EvyCgQkorQs,23 MINIATURE BARBIE ACCESSORIES YOU CAN DIY,1095,1020,40659341,43,7,0,6,0,2,6.142857142857143,1,1,0.0,179851,43951,0
2810,efq9ST0uDoE,21 EASY AND COOL CHOCOLATE IDEAS,1095,472,4992415,32,6,0,5,0,1,5.333333333333333,1,1,0.3916666666666666,31043,3660,1596
2811,Cg_GKuD7Cjg,20 PARTY HACKS FOR YOU AND YOUR FRIENDS,1095,897,306479,39,8,0,7,0,4,4.875,1,1,0.0,6629,437,400
